State,KodPAR,const_name,coallition,candidate_name,party,winlose,won_party,won_coallition,majority,votes,voted_voters,votes_pct,total_voters,turnout_rate,malay,chinese,indian,others,muslim_bumi,nonmuslim_bumi,sabah_bumi,early,postal
Terengganu,40,Kemaman,BN,Ahmad Shabery Cheek,BN,lose,PAS,PAS,2163,37715,90504,41.67,107593,84.12,94,5,1,1,0,0,0,442,11
Terengganu,40,Kemaman,PH,Mohd Huzaifah Md Suhaimi,PKR,lose,PAS,PAS,2163,12911,90504,14.27,107593,84.12,94,5,1,1,0,0,0,442,11
Pulau Pinang,41,Kepala Batas,BN,Reezal Merican Naina Merican,BN,win,BN,BN,4736,22459,52302,42.94,60523,86.42,79,17,4,0,0,0,0,779,2
Pulau Pinang,41,Kepala Batas,PH,Zaidi Zakaria,PKR,lose,BN,BN,4736,17723,52302,33.89,60523,86.42,79,17,4,0,0,0,0,779,2
Pulau Pinang,41,Kepala Batas,GS,Siti Mastura Muhamad,PAS,lose,BN,BN,4736,12120,52302,23.17,60523,86.42,79,17,4,0,0,0,0,779,2
Pulau Pinang,42,Tasek Gelugor,BN,Shabudin Yahaya,BN,win,BN,BN,81,18547,51904,35.73,60850,85.3,78,15,7,0,0,0,0,2642,7
Pulau Pinang,42,Tasek Gelugor,PH,Marzuki Yahya,PKR,lose,BN,BN,81,18466,51904,35.58,60850,85.3,78,15,7,0,0,0,0,2642,7
Pulau Pinang,42,Tasek Gelugor,GS,Rizal Hafiz Ruslan,PAS,lose,BN,BN,81,14891,51904,28.69,60850,85.3,78,15,7,0,0,0,0,2642,7
Pulau Pinang,43,Bagan,PH,Lim Guan Eng ,PKR,win,PKR,PH,43902,51653,60087,85.96,71583,83.94,13,71,15,0,0,0,0,184,6
Pulau Pinang,43,Bagan,BN,Lee Beng Seng,BN,lose,PKR,PH,43902,7751,60087,12.9,71583,83.94,13,71,15,0,0,0,0,184,6
Pulau Pinang,43,Bagan,GS,Huan Cheng Guan,PCM,lose,PKR,PH,43902,502,60087,0.84,71583,83.94,13,71,15,0,0,0,0,184,6
Pulau Pinang,43,Bagan,Others,Koay Xing Boon,MU,lose,PKR,PH,43902,181,60087,0.3,71583,83.94,13,71,15,0,0,0,0,184,6
Pulau Pinang,44,Permatang Pauh,PH,Nurul Izzah Anwar,PKR,win,PKR,PH,15668,35534,69828,50.89,81789,85.38,72,21,6,0,0,0,0,752,11
Pulau Pinang,44,Permatang Pauh,BN,Mohd Zaidi Mohd Said,BN,lose,PKR,PH,15668,19866,69828,28.45,81789,85.38,72,21,6,0,0,0,0,752,11
Pulau Pinang,44,Permatang Pauh,GS,Afnan Hamimi Taib Azamudden,PAS,lose,PKR,PH,15668,14428,69828,20.66,81789,85.38,72,21,6,0,0,0,0,752,11
Pulau Pinang,45,Bukit Mertajam,PH,Sim Chee Keong,PKR,win,PKR,PH,52877,63784,74691,85.4,88998,83.92,19,70,10,0,0,0,0,75,12
Pulau Pinang,45,Bukit Mertajam,BN,Gui Guat Lye,BN,lose,PKR,PH,52877,10907,74691,14.6,88998,83.92,19,70,10,0,0,0,0,75,12
Pulau Pinang,46,Batu Kawan,PH,Kasthuriraani Patto,PKR,win,PKR,PH,33553,42683,54705,78.02,65394,83.65,21,56,23,0,0,0,0,223,2
Pulau Pinang,46,Batu Kawan,BN,Jayanthi Devi Balaguru,BN,lose,PKR,PH,33553,9130,54705,16.69,65394,83.65,21,56,23,0,0,0,0,223,2
